"Location","DisplayName","Type","Longitude","Latitude","PhysicalLocation","RegionType","RegionCategory","GeographyGroup","PairedRegion","Providers"
"eastus","East US","Region","-79.8164","37.3719","Virginia","Physical","Recommended","US","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"eastus2","East US 2","Region","-78.3889","36.6681","Virginia","Physical","Recommended","US","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"southcentralus","South Central US","Region","-98.5","29.4167","Texas","Physical","Recommended","US","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"westus2","West US 2","Region","-119.852","47.233","Washington","Physical","Recommended","US","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"westus3","West US 3","Region","-112.074036","33.448376","Phoenix","Physical","Recommended","US","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"australiaeast","Australia East","Region","151.2094","-33.86","New South Wales","Physical","Recommended","Asia Pacific","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"southeastasia","Southeast Asia","Region","103.833","1.283","Singapore","Physical","Recommended","Asia Pacific","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"northeurope","North Europe","Region","-6.2597","53.3478","Ireland","Physical","Recommended","Europe","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"swedencentral","Sweden Central","Region","17.14127","60.67488","Gävle","Physical","Recommended","Europe","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"uksouth","UK South","Region","-0.799","50.941","London","Physical","Recommended","Europe","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"westeurope","West Europe","Region","4.9","52.3667","Netherlands","Physical","Recommended","Europe","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"centralus","Central US","Region","-93.6208","41.5908","Iowa","Physical","Recommended","US","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"southafricanorth","South Africa North","Region","28.218370","-25.731340","Johannesburg","Physical","Recommended","Africa","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"centralindia","Central India","Region","73.9197","18.5822","Pune","Physical","Recommended","Asia Pacific","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"eastasia","East Asia","Region","114.188","22.267","Hong Kong","Physical","Recommended","Asia Pacific","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"japaneast","Japan East","Region","139.77","35.68","Tokyo, Saitama","Physical","Recommended","Asia Pacific","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"koreacentral","Korea Central","Region","126.9780","37.5665","Seoul","Physical","Recommended","Asia Pacific","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"canadacentral","Canada Central","Region","-79.383","43.653","Toronto","Physical","Recommended","Canada","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"francecentral","France Central","Region","2.3730","46.3772","Paris","Physical","Recommended","Europe","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"germanywestcentral","Germany West Central","Region","8.682127","50.110924","Frankfurt","Physical","Recommended","Europe","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"norwayeast","Norway East","Region","10.752245","59.913868","Norway","Physical","Recommended","Europe","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"switzerlandnorth","Switzerland North","Region","8.564572","47.451542","Zurich","Physical","Recommended","Europe","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"uaenorth","UAE North","Region","55.316666","25.266666","Dubai","Physical","Recommended","Middle East","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"brazilsouth","Brazil South","Region","-46.633","-23.55","Sao Paulo State","Physical","Recommended","South America","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"eastus2euap","East US 2 EUAP","Region","-78.3889","36.6681",,"Physical","Recommended","US","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"qatarcentral","Qatar Central","Region","51.439327","25.551462","Doha","Physical","Recommended","Middle East","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.PairedRegion]","System.Collections.Generic.List`1[System.String]"
"asia","Asia","Region",,,,"Logical","Other",,,"System.Collections.Generic.List`1[System.String]"
"asiapacific","Asia Pacific","Region",,,,"Logical","Other",,,"System.Collections.Generic.List`1[System.String]"
